timestamp,ref_speed_kmh,actual_speed_kmh,accel_opening,brake_opening,accel_pos,brake_pos,accel_current,brake_current
2026-06-18T22:53:05.938436+00:00,0.0,0.0,0.0,24.0,1426,2034,538.0,499.0
2026-06-18T22:53:06.030152+00:00,0.0,0.0,1.0306347919810044,0.0,1504,686,58.0,484.0
2026-06-18T22:53:06.130161+00:00,0.0,0.0,1.2083408322902311,0.0,1518,686,119.0,250.0
2026-06-18T22:53:06.231201+00:00,0.013199999994688306,0.0,1.3996145801043556,0.0,1532,686,174.0,151.0
2026-06-18T22:53:06.331177+00:00,0.23539999989293597,0.0,1.7031694764734278,0.0,1555,686,83.0,499.0
2026-06-18T22:53:06.431200+00:00,0.45539999979373635,0.0,1.9110538338797811,0.0,1571,686,178.0,499.0
2026-06-18T22:53:06.531229+00:00,0.677599999691984,0.0,2.123933951663166,0.0,1587,686,250.0,499.0
2026-06-18T22:53:06.633209+00:00,0.8997999995902317,0.0,2.337674876458954,0.0,1603,686,175.0,499.0
2026-06-18T22:53:06.734255+00:00,1.1197999994910321,0.0,2.545707355536603,0.0,1619,686,230.0,499.0
2026-06-18T22:53:06.833193+00:00,1.3419999993892797,0.0,2.7610304285307605,0.0,1635,686,134.0,499.0
2026-06-18T22:53:06.934291+00:00,1.5619999992900802,0.0,2.970629390966822,0.0,1651,686,130.0,499.0
2026-06-18T22:53:07.035206+00:00,1.7841999991883277,0.0,3.1875346120884105,0.0,1668,686,250.0,499.0
2026-06-18T22:53:07.136251+00:00,2.0063999990885764,0.0,3.400840452968555,0.0,1684,686,58.0,499.0
2026-06-18T22:53:07.236255+00:00,2.226399998999376,0.0,3.6145367270166417,0.0,1700,686,202.0,499.0
2026-06-18T22:53:07.336222+00:00,2.4463999990001764,0.0,3.823568269998863,0.0,1716,686,160.0,499.0
2026-06-18T22:53:07.436264+00:00,2.6663999990009764,0.0,4.0374576000211215,0.0,1732,686,17.0,499.0
2026-06-18T22:53:07.836460+00:00,2.886399998999776,0.0,4.247705086131735,0.0,1748,686,196.0,499.0
2026-06-18T22:53:08.540307+00:00,4.430399999015282,1.6019659423828125,4.583512121435031,0.0,1774,686,107.0,499.0
2026-06-18T22:53:08.641537+00:00,5.194199999417364,2.7961932373046876,4.725167628714318,0.0,1784,686,95.0,499.0
2026-06-18T22:53:08.743339+00:00,5.384199999518056,3.0965896606445313,4.751705694221289,0.0,1786,686,534.0,499.0
2026-06-18T22:53:08.843326+00:00,5.576099999618405,3.3535415649414064,4.785822235442245,0.0,1789,686,491.0,499.0
2026-06-18T22:53:08.942351+00:00,5.7660999997190965,3.6166949462890625,4.832170630408659,0.0,1793,686,205.0,499.0
2026-06-18T22:53:09.042372+00:00,5.956099999819788,3.7785662841796874,5.032068420358435,0.0,1808,686,234.0,499.0
2026-06-18T22:53:09.142521+00:00,6.146099999918751,4.096490478515625,4.8669352033185325,0.0,1795,686,113.0,499.0
2026-06-18T22:53:09.242344+00:00,6.330400000000372,4.368460693359375,4.881947644565647,0.0,1796,686,14.0,499.0
2026-06-18T22:53:09.342395+00:00,6.490399999999499,4.672382202148437,4.873152074766917,0.0,1796,686,538.0,499.0
2026-06-18T22:53:09.442447+00:00,6.650400000000081,4.932437133789063,4.932276845575181,0.0,1800,686,71.0,499.0
2026-06-18T22:53:09.542407+00:00,6.810400000000664,5.223114013671875,4.8998101562645076,0.0,1798,686,538.0,499.0
2026-06-18T22:53:09.641794+00:00,6.97039999999979,5.471893310546875,4.961147344155864,0.0,1802,686,105.0,499.0
2026-06-18T22:53:09.742364+00:00,7.130400000000373,5.750030517578125,4.930849429810812,0.0,1800,686,538.0,499.0
2026-06-18T22:53:09.842344+00:00,7.2903999999995,5.988131713867188,4.973242660119138,0.0,1803,686,101.0,499.0
2026-06-18T22:53:09.943346+00:00,7.450400000000082,6.2543884277343755,4.933911301560322,0.0,1800,686,395.0,499.0
2026-06-18T22:53:10.043365+00:00,7.610400000000664,6.482368774414063,4.944123158089226,0.0,1801,686,110.0,499.0
2026-06-18T22:53:10.143377+00:00,7.772000000000117,6.705805053710938,4.990005713727536,0.0,1805,686,245.0,499.0
2026-06-18T22:53:10.846038+00:00,8.319900000000416,7.527044677734375,5.017724119763168,0.0,1807,686,102.0,499.0
2026-06-18T22:53:11.247753+00:00,9.22880000000041,8.9690869140625,5.08017202816543,0.0,1811,686,89.0,499.0
2026-06-18T22:53:11.348508+00:00,9.35,9.144268798828126,5.149562938953003,0.0,1817,686,97.0,499.0
2026-06-18T22:53:11.450241+00:00,9.47119999999959,9.360636596679688,5.112680010932894,0.0,1814,686,538.0,499.0
2026-06-18T22:53:11.549768+00:00,9.591200000000025,9.562910766601563,5.15154407005824,0.0,1817,686,154.0,499.0
2026-06-18T22:53:11.648594+00:00,9.711200000000462,9.789372558593751,5.122495574016362,0.0,1815,686,447.0,499.0
2026-06-18T22:53:11.749451+00:00,9.831199999999807,9.983504638671874,5.16348726061818,0.0,1818,686,138.0,499.0
2026-06-18T22:53:11.849883+00:00,9.951200000000245,10.092787475585938,5.185303403386588,0.0,1819,686,5.0,499.0
2026-06-18T22:53:11.949605+00:00,10.071199999999589,10.3078271484375,5.183449178575631,0.0,1819,686,465.0,499.0
2026-06-18T22:53:12.049334+00:00,10.191200000000027,10.492208251953125,5.193398675951518,0.0,1820,686,361.0,499.0
2026-06-18T22:53:12.148970+00:00,10.311200000000463,10.698719482421875,5.193829776125931,0.0,1820,686,538.0,499.0
2026-06-18T22:53:12.249674+00:00,10.428599999999824,10.87581787109375,5.233701169888958,0.0,1823,686,242.0,499.0
2026-06-18T22:53:12.349343+00:00,10.538600000000224,11.074202880859374,5.216392243959925,0.0,1822,686,538.0,499.0
2026-06-18T22:53:12.449053+00:00,10.648599999999623,11.268411865234375,5.229274273095516,0.0,1823,686,538.0,499.0
2026-06-18T22:53:12.549561+00:00,10.758600000000024,11.435,5.256159733968083,0.0,1825,686,144.0,499.0
2026-06-18T22:53:12.651518+00:00,10.868600000000423,11.5985400390625,5.3066533498157185,0.0,1829,686,75.0,499.0
2026-06-18T22:53:12.749492+00:00,10.978599999999824,11.7817919921875,5.305985037342059,0.0,1829,686,538.0,499.0
2026-06-18T22:53:12.849518+00:00,11.088600000000223,11.939017333984376,5.3788601250575665,0.0,1834,686,168.0,499.0
2026-06-18T22:53:12.952540+00:00,11.199699999999847,12.115220947265625,5.399579221607305,0.0,1836,686,538.0,499.0
2026-06-18T22:53:13.351274+00:00,11.309700000000248,12.26641845703125,5.473599859000988,0.0,1841,686,143.0,499.0
2026-06-18T22:53:14.053284+00:00,12.243399999999928,13.327891845703125,5.888982336718133,0.0,1873,686,198.0,499.0
2026-06-18T22:53:14.156734+00:00,12.803399999999419,14.029190673828126,6.20025521562762,0.0,1896,686,270.0,499.0
2026-06-18T22:53:14.255584+00:00,12.95579999999991,14.1896484375,6.305560141575128,0.0,1904,686,215.0,499.0
2026-06-18T22:53:14.354598+00:00,13.135800000000563,14.38236328125,6.377747233132864,0.0,1910,686,237.0,499.0
2026-06-18T22:53:14.454600+00:00,13.31579999999958,14.50411376953125,6.453824388257845,0.0,1916,686,10.0,499.0
2026-06-18T22:53:14.555601+00:00,13.495800000000235,14.714156494140624,6.552266094296616,0.0,1923,686,76.0,499.0
2026-06-18T22:53:14.654782+00:00,13.675799999999253,14.94959716796875,6.576762186953894,0.0,1925,686,523.0,499.0
2026-06-18T22:53:14.755601+00:00,13.855799999999908,15.151668701171875,6.688212559458074,0.0,1933,686,287.0,499.0
